Naam organisatie,talen,NAAM,Locale ID,Eerste openingsdag,Finale Sluitingsdag,Reglement,Tijdelijk gesloten,Beschrijving,Straat Naam en Nummer,Postcode,Land,E_Website Organisatie,E_Naam Organisatie,P_Website Organisatie,P_Naam Organisatie,Website,Email,Telefoonnummer,Parkeerfaciliteit URI,Live API URI
Stad Deinze,Nederlands,Nevelemarkt,11,01/01/2019,,,NO,Stalling op Nevelemarkt,Nevelemarkt,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Busstop Nevelemarkt,12,01/01/2019,,,NO,Stalling bij busstop Nevelemarkt,Nevelemarkt,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Camille Van der Cruyssenstraat,13,01/01/2019,,,NO,Stalling in de Camille Van der Cruyssenstraat,Camille Van der Cruyssenstraat 43,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Sporthal Oostbroek,14,01/01/2019,,,NO,Stalling bij sporthal Oostbroek,Zeistraat 41,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Busstop Damstraat - Vosselare,15,01/01/2019,,,NO,Stalling bij busstop in de Damstraat te Vosselare,Damstraat 1,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Kerk Vosselare,16,01/01/2019,,,NO,Stalling bij Vosselarekerk,Vosselaredorp 47A,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Kongoplein,17,01/01/2019,,,NO,Stalling op Kongoplein,Kongoplein,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Markt,18,01/01/2019,,,NO,Stalling op de Markt,Markt,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Elfdorpen,19,01/01/2019,,,NO,Stalling rondom dienstencentrum Elfdorpen,Ghesquièrestraat 15,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Muziekacademie Kade,20,01/01/2019,,,NO,Stalling bij Muziekacademie Kade,Kalkhofstraat 25,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Leiedam,21,01/01/2019,,,NO,Staling in Leiedam,Leiedam,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Emiel Clausplein,22,01/01/2019,,,NO,Stalling bij Emiel Clausplein,Emiel Clausplein,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Sint-Poppoplein,23,01/01/2019,,,NO,Stalling bij Sint-Poppoplein,Sint-Poppoplein,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Dienstencentrum Deinze,24,01/01/2019,,,NO,Stalling bij het dienstencentrum Deinze,Brielstraat 2,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Leietheater,25,01/01/2019,,,NO,Stalling bij het leietheater,Brielstraat 8,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Mudel,26,01/01/2019,,,NO,Stalling bij het mudel,Lucien Matthyslaan 3,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Het Groot verzet,27,01/01/2019,,,NO,Stalling bij het cafe Het Groot verzet,Brielstraat 2C,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Gentstraat,28,01/01/2019,,,NO,Stalling bij het kruispunt Gentstraat - Guido Gezellelaan,Gentstraat 43,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Tolpoortstraat,29,01/01/2019,,,NO,Stalling in de Tolpoortstraat,Tolpoortstraat,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Kortrijkstraat,30,01/01/2019,,,NO,Stalling in de Kortrijkstraat,Kortrijkstraat 10,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Station Deinze,31,01/01/2019,,,NO,Stalling bij het station van Deinze,Statieplein 2,9800,Belgium,,NMBS,,NMBS,,,,,
Stad Deinze,Nederlands,Driespoort,32,01/01/2019,,,NO,Stalling bij het shoppingscentrum Driespoort,Gaversesteenweg 48,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Oostkouterpark,33,01/01/2019,,,NO,Stalling bij het Oostkouterpark,Kastanjelaan,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Palaestra,34,01/01/2019,,,NO,Stalling bij sportsite Palaestra,Kastanjelaan 35,9800,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
