FID,OBJECTID_1,id,ID_FIETS,X,Y,OBJECTID,tblalgemen,IDfietsens,MCSCode,MCSCodefie,MCSCodef_1,tblintermo,Positie,Betalend,Toegangsco,Afgesloten,Typevanafs,Eigenaarte,Infrastruc,Plaatsenfi,Plaatsen_1,Plaatsenba,Plaatsen_2,Plaatsenbr,Plaatsen_3,Plaatsenel,Plaatsen_4,Plaatsen_5,Plaatsen_6,Plaatsento,Plaatsen_7,Plaatsen_8,Camerabewa,voldoendev,X_WGS,Y_WGS
1002,0,1115,1115, , ,0, ,1115,0,0, ,Fietsenstalling f2,Reizigersparking naast Fietspunt,0,0,0,NVT,NMBS,Overdekt (luifel),60,0,0,0,0,0,0,0,0,0,60,60,0,0,-1,"4° 12' 24,373"" E","50° 54' 26,292"" N"
1003,0,1122,1122, , ,1122, ,0,0,0, ,Fietsenstalling f3,Stationsplein aan bushalte,0,0,0,NVT,Stad/Gemeente,Overdekt (luifel),60,0,0,0,0,0,0,0,0,0,60,60,0,-1,0,"4° 12' 23,375"" E","50° 54' 24,524"" N"
1004,0,1123,1123, , ,1123, ,0,0,0, ,Fietsenstalling f4,Aan Rondweg/aan perron 2,0,0,0,NVT,Infrabel,Overdekt (luifel),4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,"4° 12' 26,720"" E","50° 54' 24,021"" N"
1005,0,1125,1125, , ,1125, ,0,0,0, ,Fietsenstalling f1,Aan perron 1/Hopveld,0,0,0,NVT,NMBS,Overdekt (luifel),72,0,0,0,0,0,0,0,0,0,72,72,0,0,1,"4° 9' 9,259"" E","51° 1' 12,323"" N"
1006,0,1131,1131, , ,0, ,1131,0,0, ,Fietsenstalling f2,Aan perron 2 /Reigersweg,0,0,0,NVT,NMBS,Overdekt (luifel),45,0,0,0,0,0,0,0,0,0,45,45,0,0,1,"4° 9' 6,696"" E","51° 1' 11,679"" N"
707,708,794,0,"148565,531 m","170109,405 m",135,Bru.-Chap./Kap.,794,10010001002,0, ,Fietsenstalling f1,"Meerlaanstraat, langs perron 2",0,0,0,NVT,NMBS,Overdekt (luifel),217,0,0,0,6,0,0,0,0,0,223,217,6,0,1,"3° 47' 23,399"" E","50° 55' 13,351"" N"
708,709,795,0,"148625,280 m","170048,167 m",136,Bru.-Chap./Kap.,795,10010001002,0, ,Fietsenstalling f1,Langs perron 2,0,0,0,NVT,NMBS,Overdekt (luifel),64,0,0,0,3,0,0,0,0,0,67,64,3,0,1,"3° 48' 17,350"" E","50° 54' 1,989"" N"
709,710,796,0,"148394,228 m","170074,979 m",137,Bru.-Chap./Kap.,796,10010001002,0, ,Fietsenstalling f1,Dries/overkant sporen perron 1,0,0,0,NVT,Stad/Gemeente,Overdekt (luifel),14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,"3° 56' 2,946"" E","50° 54' 50,875"" N"
710,711,296,0,"149087,549 m","170495,705 m",138,Bru.-Cent.,296,10010002005,0, ,Fietsenstalling f1,langs perron 1,0,0,0, ,Infrabel,Overdekt (luifel),170,0,0,0,4,0,0,0,0,0,174,170,4,-1,1,"3° 19' 43,188"" E","51° 7' 42,184"" N"
711,712,715,0,"149211,267 m","170586,818 m",139,Bru.-Cent.,715,10010002005,0, ,Fietsenstalling f2,onder brug,0,0,0, ,Infrabel,Andere,72,0,0,0,0,0,0,0,0,0,72,72,0,0,0,"3° 19' 38,646"" E","51° 7' 43,791"" N"
712,713,302,0,"149557,100 m","171362,066 m",140,Bru.-Cong.,302,10010003103,0, ,Fietsenstalling f3,langs perron 2,0,0,-1,Hek,Infrabel,Overdekt (luifel),172,0,0,0,4,0,0,0,0,0,176,172,4,-1,-1,"3° 19' 40,816"" E","51° 7' 43,915"" N"
713,714,704,0,"149396,390 m","172114,969 m",141,Bru.-Noord/Nord,704,10250001118,0, ,Fietsenstalling f4,langs perron 2,0,0,0, ,NMBS,Openlucht,0,28,0,0,0,0,0,0,0,0,28,28,0,-1,1,"3° 19' 40,098"" E","51° 7' 44,209"" N"
714,715,298,0,"149366,929 m","172246,798 m",142,Bru.-Noord/Nord,298,10250001118,0, ,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS, ,84,42,0,0,0,0,0,0,0,0,126,126,0,0,1,"3° 52' 42,200"" E","51° 5' 15,157"" N"
715,716,328,0,"150711,530 m","174141,015 m",143,Schaarbeek/Schaerbeek,328,10250002041,30503068602, ,Fietsenstalling f1,Lotenhullestraat,0,0,-1,Haag,NMBS,Andere,112,24,0,0,6,0,0,0,0,0,142,136,6,0,1,"3° 29' 13,390"" E","51° 5' 3,031"" N"
716,717,776,0,"153622,135 m","175367,889 m",144,Haren,776,10260004001,30503068601, ,Fietsenstalling f2,"Bellemstation, perron 2",0,0,-1,Andere,NMBS,Andere,28,16,0,0,0,0,0,0,0,0,44,44,0,0,1,"3° 29' 13,302"" E","51° 5' 2,231"" N"
717,718,294,0,"152916,253 m","174137,714 m",145,Bordet,294,10260005005,0, ,Fietsenstalling f1,Heiakker/aan perron 1 en parking P1,0,0,0,NVT,NMBS,Overdekt (luifel),72,0,0,0,6,0,0,0,0,0,78,72,6,0,1,"4° 5' 11,467"" E","51° 9' 4,773"" N"
718,719,756,0,"152801,100 m","173945,252 m",146,Bordet,756,10260005005,0, ,Fietsenstalling f2,aan perron 2,0,0,0,NVT,Infrabel,Overdekt (luifel),50,0,0,0,3,0,0,0,0,0,53,50,3,0,1,"4° 5' 11,877"" E","51° 9' 4,029"" N"
719,720,754,0,"152876,009 m","174140,255 m",147,Bordet,754,10260005005,0, ,Fietsenstalling f1,Stationsplein,0,0,1,houten afsluiting,NMBS,Andere,182,64,0,0,0,0,0,0,0,0,246,246,0,0,1,"4° 15' 32,037"" E","51° 12' 32,907"" N"
720,721,310,0,"152173,870 m","173162,299 m",148,Evere,310,10260006002,0, ,Fietsenstalling f2,Aan schuine helling onderdoorgang naar perron 2,0,0,0,NVT,Infrabel,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,"4° 15' 26,669"" E","51° 12' 30,497"" N"
721,722,323,0,"151793,716 m","171704,855 m",149,Meiser,323,10260008004,0, ,Fietsenstalling f1,Vlaswaagplein,0,0,0,NVT,NMBS,Andere,28,24,0,0,0,0,0,0,0,0,52,52,0,0,1,"3° 13' 23,290"" E","50° 49' 34,741"" N"
722,723,763,0,"152576,837 m","167421,008 m",150,Delta,763,10260012001,0, ,Fietsenstalling f1,naast stationsgebouw,0,0,0,NVT,NMBS,Lokaal in gebouw,144,0,0,0,0,0,0,0,0,0,144,144,0,0,0,"4° 14' 20,244"" E","51° 5' 58,776"" N"
723,724,307,0,"152561,203 m","167412,639 m",151,Delta,307,10260012001,0, ,Fietsenstalling f2,Overkant SG - langs Molenveldweg,-1,-1,0,NVT,Stad/Gemeente,Lokaal in gebouw,192,0,0,0,0,0,0,0,0,0,192,192,0,0,0,"4° 14' 21,852"" E","51° 5' 59,654"" N"
724,725,765,0,"152528,889 m","167538,466 m",152,Delta,765,10260012001,0, ,Fietsenstalling f1,ondergronds KAM-gebouw,0,0,0, ,Derde,Lokaal in gebouw,1621,0,0,0,32,0,0,0,0,0,1653,1621,32,0,-1,"3° 12' 52,973"" E","51° 11' 49,723"" N"
725,726,336,0,"152087,680 m","166592,481 m",153,Arcades,336,10260014001,30510095506, ,Fietsenstalling f1,f1,0,0,0, ,NMBS,Overdekt (luifel),24,0,0,0,0,0,0,0,0,0,24,24,0,0,0,"3° 12' 3,734"" E","51° 13' 25,498"" N"
726,727,768,0,"151823,821 m","165947,072 m",154,Boondael/Boondaal,768,10260014010,0, ,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,Overdekt (luifel),80,0,0,0,0,0,0,0,0,0,80,80,0,0,1,"4° 12' 1,057"" E","51° 1' 0,842"" N"
727,728,767,0,"151848,928 m","165901,391 m",155,Boondael/Boondaal,767,10260014010,0, ,Fietsenstalling f2,Stationsstraat,0,0,0,NVT,Infrabel,Overdekt (luifel),120,0,0,0,0,0,0,0,0,0,120,120,0,0,0,"4° 11' 59,793"" E","51° 1' 0,112"" N"
728,729,293,0,"151711,768 m","165679,609 m",156,Boondael/Boondaal,293,10260014010,0, ,Fietsenstalling f2,Stationsstraat,0,0,0,NVT,Infrabel,Overdekt (luifel),120,0,0,0,0,0,0,0,0,0,120,120,0,0,0,"4° 11' 58,676"" E","51° 1' 0,174"" N"
729,730,797,0,"150313,663 m","165055,065 m",157,Vivier D'oie/Diesdelle,797,10260016001,0, ,Fietsenstalling f1,tussen SG en parking P2,0,0,0,NVT,NMBS,Andere,38,24,0,0,0,0,0,0,0,0,62,62,0,0,1,"3° 55' 13,657"" E","50° 54' 27,576"" N"
730,731,308,0,"150263,448 m","165031,353 m",158,Vivier D'oie/Diesdelle,308,10260016001,0, ,Fietsenstalling f2,Kant perron 2,0,0,0,NVT,NMBS,Overdekt (luifel),60,0,0,0,0,0,0,0,0,0,60,60,0,0,1,"3° 55' 12,086"" E","50° 54' 26,351"" N"
731,732,769,0,"150191,265 m","165033,445 m",159,Vivier D'oie/Diesdelle,769,10260016001,30730085608, ,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,Overdekt (luifel),56,0,0,0,0,0,0,0,0,0,56,56,0,0,0,"2° 36' 1,846"" E","51° 4' 40,486"" N"
732,733,770,0,"149580,204 m","164861,878 m",160,St-job,770,10260017005,0, ,Fietsenstalling f1,Stationsstraat richting Oudenaarde,0,0,1,hekken,NMBS,Overdekt (luifel),140,0,0,0,0,0,0,0,0,0,140,140,0,0,1,"3° 38' 49,533"" E","50° 59' 47,350"" N"
733,734,771,0,"149514,297 m","164836,539 m",161,St-job,771,10260017005,0, ,Fietsenstalling f2,onder overkapping perron 1,0,0,1,borstwering,NMBS,Overdekt (luifel),36,0,0,0,0,0,0,0,0,0,36,36,0,0,-1,"3° 38' 55,256"" E","50° 59' 49,564"" N"
734,735,331,0,"149546,495 m","164887,683 m",162,St-job,331,10260017005,0, ,Fietsenstalling f3,Stationsstraat richting Gent,0,0,1,draadafsluiting,NMBS,Overdekt (luifel),136,0,0,0,0,0,4,0,0,0,140,140,0,0,-1,"3° 38' 57,748"" E","50° 59' 50,602"" N"
735,736,325,0,"147382,268 m","163122,093 m",163,Moensberg,325,10260019011,0, ,Fietsenstalling f4,Florastraat,0,0,1,borstwering,NMBS,Open lucht,0,92,0,0,0,0,0,0,0,0,92,92,0,0,0,"3° 38' 49,471"" E","50° 59' 49,216"" N"
736,737,772,0,"147304,622 m","163108,377 m",164,Moensberg,772,10260019011,0, ,Fietsenstalling f5,Hazelaarspad,0,0,1,houten afsluiting,Stad/Gemeente,Overdekt (luifel),36,0,0,0,0,0,0,0,0,0,36,36,0,0,0,"3° 38' 55,315"" E","50° 59' 51,685"" N"
737,738,835,0,"145345,380 m","161769,727 m",165,Beersel,835,10260022004,0, ,Fietsenstalling f1,onder viaduct tussen SG en f2,0,0,0,NVT,NMBS,Andere,924,0,0,0,0,0,0,0,0,0,924,924,0,0,1,"3° 31' 58,479"" E","50° 58' 42,013"" N"
738,739,290,0,"145259,364 m","161729,974 m",166,Beersel,290,10260022004,0, ,Fietsenstalling f1,voorzijde rond ingang onderdoorgang,0,0,0,NVT,NMBS,Overdekt (luifel),90,0,0,0,12,0,0,0,0,0,102,90,12,-1,1,"4° 4' 14,120"" E","50° 53' 33,396"" N"
739,740,717,0,"145352,296 m","161805,761 m",167,Beersel,717,10260022004,0, ,Fietsenstalling f2,Voorzijde naast fietsenstalling f1,0,0,0,NVT,NMBS,Overdekt (luifel),136,0,0,0,0,0,0,0,0,0,136,136,0,-1,1,"4° 4' 12,652"" E","50° 53' 34,317"" N"
740,741,718,0,"145343,694 m","161816,339 m",168,Beersel,718,10260022004,0, ,Fietsenstalling f4,Achterzijde onder seinhuis Infrabel,0,0,1,in gebouw seinhuis,NMBS,Lokaal in gebouw,104,0,0,0,0,0,0,0,0,0,104,104,0,-1,-1,"4° 4' 6,453"" E","50° 53' 29,900"" N"
741,742,318,0,"142811,285 m","160159,605 m",169,Huizingen,318,10260025006,0, ,Fietsenstalling f3,Achterzijde naast seinhuis Infrabel,0,0,1,draadafsluiting,NMBS,Overdekt (luifel),448,0,0,0,0,0,0,0,0,0,448,448,0,-1,1,"4° 4' 7,092"" E","50° 53' 29,605"" N"
742,743,773,0,"142756,479 m","160160,680 m",170,Huizingen,773,10260025006,0, ,Fietsenstalling f1,tussen stationsgebouw en parking P3,0,0,0,NVT,NMBS,Overdekt (luifel),403,0,0,0,30,0,0,0,0,0,433,403,30,-1,1,"4° 5' 57,151"" E","51° 1' 25,189"" N"
743,744,774,0,"142744,855 m","160161,842 m",171,Huizingen,774,10260025006,0, ,Fietsenstalling f2,achterkant station,0,0,0,NVT,NMBS,Overdekt (luifel),274,0,2,0,6,0,0,0,0,0,282,276,6,0,1,"4° 5' 59,861"" E","51° 1' 19,933"" N"
744,745,299,0,"148085,854 m","173621,104 m",172,Tour et Taxis/Thurn en Taxis,299,10280004008,0, ,Fietsenstalling f3,Statieplein naast busstation,0,0,0,NVT,NMBS,Open lucht,0,40,0,0,0,0,0,0,0,0,40,40,0,0,-1,"4° 5' 54,949"" E","51° 1' 25,215"" N"
745,746,733,0,"147307,295 m","172485,143 m",173,Simonis,733,10280005002,0, ,Fietsenstalling f4,Voor stationsgebouw kant parking P2,0,0,0,NVT,NMBS,Open lucht,0,251,0,0,0,0,0,0,0,0,251,251,0,0,1,"4° 6' 1,962"" E","51° 1' 26,517"" N"
746,747,329,0,"147293,986 m","172510,076 m",174,Simonis,329,10280005002,0, ,Fietsenstalling f5,"Naast stationsgebouw, kant parking P2",0,0,0,NVT,NMBS,Open lucht,0,80,0,0,0,0,0,0,0,0,80,80,0,0,1,"4° 6' 3,198"" E","51° 1' 25,988"" N"
747,748,731,0,"147309,039 m","172498,743 m",175,Simonis,731,10280005002,0, ,Fietsenstalling f1,Bortierlaan/nst gebouwtje Infrabel,0,0,0,NVT,NMBS,Overdekt (luifel),128,0,0,0,6,0,0,0,0,0,134,128,6,0,-1,"2° 52' 7,306"" E","51° 2' 2,071"" N"
748,749,735,0,"147343,155 m","172591,965 m",176,Simonis,735,10280005002,0, ,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,Overdekt (luifel),56,0,0,0,0,0,0,0,0,0,56,56,0,0,1,"4° 14' 36,477"" E","50° 51' 59,914"" N"
749,750,734,0,"147345,479 m","172550,585 m",177,Simonis,734,10280005002,0, ,Fietsenstalling f2,"kant perron 2, begin parking P3",0,0,0,NVT,NMBS,Overdekt (luifel),56,0,0,0,0,0,0,0,0,0,56,56,0,-1,1,"4° 14' 38,224"" E","50° 52' 0,404"" N"
750,751,300,0,"146629,688 m","170955,225 m",178,Bru.-West/Ouest,300,10280006012,0, ,Fietsenstalling f1,voorzijde,0,0,0,NVT,Infrabel,Overdekt (luifel),84,0,0,0,8,0,0,0,0,0,92,84,8,0,1,"3° 39' 12,944"" E","51° 2' 53,364"" N"
751,752,737,0,"146630,793 m","170895,072 m",179,Bru.-West/Ouest,737,10280006012,0, ,Fietsenstalling f2,achterzijde,0,0,0,NVT,Infrabel,Overdekt (luifel),98,0,0,0,8,0,0,0,0,0,106,98,8,0,1,"3° 39' 9,869"" E","51° 2' 51,941"" N"
752,753,315,0,"153505,575 m","175571,366 m",180,Haren-Zuid/Sud,315,10360006007,30513114218, ,Fietsenstalling f1,op einde Duinbergenlaan,0,0,0, ,NMBS,Overdekt (luifel),50,0,0,0,3,0,0,0,0,0,53,50,3,0,1,"3° 15' 43,469"" E","51° 20' 20,238"" N"
753,754,753,0,"153358,651 m","175478,376 m",181,Haren-Zuid/Sud,753,10360006007,0, ,Fietsenstalling f2,kant spoor 2 richting Denderleeuw,0,0,0,NVT,NMBS,Overdekt (luifel),40,0,0,0,0,0,0,0,0,0,40,40,0,0,0,"3° 59' 10,307"" E","50° 54' 41,864"" N"
754,755,729,0,"148551,095 m","174416,459 m",182,Bockstael,729,10500003004,0, ,Fietsenstalling f1,aan busstation,0,0,0,NVT,NMBS,Overdekt (luifel),72,24,0,0,0,0,0,0,0,0,96,96,0,0,1,"3° 34' 24,146"" E","51° 10' 54,471"" N"
755,756,730,0,"148550,601 m","174417,447 m",183,Bockstael,730,10500003004,0, ,Fietsenstalling f1,aan busstation,0,0,0,NVT,NMBS,Overdekt (luifel),72,24,0,0,0,0,0,0,0,0,96,96,0,0,1,"3° 34' 23,536"" E","51° 10' 55,000"" N"
756,757,723,0,"147196,782 m","174537,433 m",184,Jette,723,10500005015,0, ,Fietsenstalling f1,aan busstation,0,0,0,NVT,NMBS,Overdekt (luifel),72,24,0,0,0,0,0,0,0,0,96,96,0,0,1,"3° 34' 22,676"" E","51° 10' 55,724"" N"
757,758,319,0,"147208,987 m","174496,866 m",185,Jette,319,10500005015,0, ,Fietsenstalling f2,naast f1 en P3,0,0,0,NVT,NMBS,Open lucht,60,0,0,0,0,0,0,0,0,0,60,60,0,0,0,"3° 34' 21,625"" E","51° 10' 56,439"" N"
758,759,291,0,"144427,191 m","173594,921 m",186,Berchem-St-Ag.-Berchem,291,10500008013,0, ,Fietsenstalling f3,Gentsesteenweg kant Gent,0,0,0,NVT,NMBS,Overdekt (luifel),136,0,0,0,0,0,0,0,0,0,136,136,0,0,1,"3° 34' 27,053"" E","51° 10' 51,460"" N"
759,760,720,0,"144481,706 m","173582,309 m",187,Berchem-St-Ag.-Berchem,720,10500008013,0, ,Fietsenstalling f4,Gentsesteenweg kant Gent,0,0,0,NVT,NMBS,Overdekt (luifel),14,0,0,0,0,0,0,0,0,0,14,14,0,0,0,"3° 34' 27,327"" E","51° 10' 51,226"" N"
760,761,711,0,"147836,327 m","169515,505 m",188,Bru.-Midi/Zuid,711,10960001150,0, ,Fietsenstalling f1,kant Rietstraat,0,0,0,NVT,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,"3° 59' 31,059"" E","50° 49' 26,847"" N"
761,762,712,0,"147678,227 m","169672,357 m",189,Bru.-Midi/Zuid,712,10960001150,0, ,Fietsenstalling f2,kant Eichemstraat,0,0,0,NVT,NMBS,Overdekt (luifel),14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,"3° 59' 32,706"" E","50° 49' 28,565"" N"
762,763,716,0,"147683,497 m","169692,050 m",190,Bru.-Midi/Zuid,716,10960001150,0, ,Fietsenstalling f1,naast stationsgebouw,0,0,0,NVT,Derde,Overdekt (luifel),144,0,0,0,0,0,0,0,0,0,144,144,0,0,0,"3° 37' 20,672"" E","50° 52' 16,071"" N"
763,764,713,0,"147516,313 m","169421,616 m",191,Bru.-Midi/Zuid,713,10960001150,0, ,Fietsenstalling f1,"op parking P1, langs perron 1",0,0,0,NVT,NMBS,Overdekt (luifel),252,0,0,0,0,0,0,0,0,0,252,252,0,-1,1,"3° 37' 35,674"" E","50° 57' 40,676"" N"
764,765,301,0,"147806,267 m","169474,108 m",192,Bru.-Midi/Zuid,301,10960001150,0, ,Fietsenstalling f1,langs perron 1/ts SG en parking P2,0,0,0,NVT,NMBS,Overdekt (luifel),220,0,0,0,16,0,0,0,0,0,236,220,16,-1,1,"4° 3' 15,875"" E","50° 55' 11,344"" N"
765,766,780,0,"144747,937 m","164483,978 m",193,Ruisbroek,780,10960006005,0, ,Fietsenstalling f3,Langs perron 2/Ijzerwegstraat,0,0,0,NVT,NMBS,Overdekt (luifel),14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,"4° 3' 14,648"" E","50° 55' 12,471"" N"
766,767,782,0,"144710,839 m","164403,403 m",194,Ruisbroek,782,10960006005,0, ,Fietsenstalling f1,Perron 1/Loskadestraat,0,0,0,NVT,NMBS,Overdekt (luifel),56,0,0,0,0,0,0,0,0,0,56,56,0,0,1,"3° 57' 42,257"" E","50° 55' 46,964"" N"
767,768,781,0,"144708,412 m","164398,688 m",195,Ruisbroek,781,10960006005,0, ,Fietsenstalling f1,Aan perron 1,0,0,0,NVT,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,"4° 6' 57,434"" E","50° 52' 58,885"" N"
768,769,327,0,"144791,900 m","164480,650 m",196,Ruisbroek,327,10960006005,0, ,Fietsenstalling f1,Aan perron 1,0,0,0,NVT,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,"4° 6' 57,914"" E","50° 52' 58,929"" N"
769,770,779,0,"144804,797 m","164475,935 m",197,Ruisbroek,779,10960006005,0, ,Fietsenstalling f2,Aan perron 2,0,0,0,NVT,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,-1,"4° 6' 55,498"" E","50° 52' 58,243"" N"
770,771,322,0,"143289,813 m","161780,298 m",198,Lot,322,10960009002,0, ,Fietsenstalling f2,Aan perron 2,0,0,0,NVT,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,-1,"4° 6' 55,053"" E","50° 52' 58,234"" N"
771,772,784,0,"143310,511 m","161741,293 m",199,Lot,784,10960009002,0, ,Fietsenstalling f1,langs toegang perron 1,0,0,0,NVT,NMBS,Overdekt (luifel),62,0,0,0,3,0,0,0,0,0,65,62,3,0,1,"3° 42' 2,639"" E","51° 6' 28,596"" N"
772,773,783,0,"143346,361 m","161793,993 m",200,Lot,783,10960009002,0, ,Fietsenstalling f1,langs toegang perron 1,0,0,0,NVT,NMBS,Overdekt (luifel),62,0,0,0,3,0,0,0,0,0,65,62,3,0,1,"3° 42' 3,715"" E","51° 6' 28,106"" N"
773,774,775,0,"142199,167 m","160036,935 m",201,Buizingen,775,10960012001,0, ,Fietsenstalling f1,Stationsstraat naast SG,0,0,0,"overdekt, staalstructuur, annex aan SG",NMBS,Overdekt (luifel),50,0,0,0,0,0,0,0,0,0,50,50,0,0,1,"3° 57' 55,613"" E","50° 44' 39,224"" N"
774,775,305,0,"142190,014 m","160021,819 m",202,Buizingen,305,10960012001,0, ,Fietsenstalling f2,Losweg langs perron 2,0,0,0,overdekt hout/staalstructuur,NMBS,Overdekt (luifel),54,0,0,0,0,0,0,0,0,0,54,54,0,0,1,"3° 57' 55,968"" E","50° 44' 38,313"" N"
775,776,313,0,"140958,915 m","158139,599 m",203,Halle,313,10960014015,0, ,Fietsenstalling f1,Op parking P1 langs perron 1,0,0,0,NVT,NMBS,Overdekt (luifel),149,0,0,0,4,0,0,0,0,0,153,149,4,0,1,"3° 38' 20,092"" E","50° 55' 47,352"" N"
776,777,788,0,"141062,928 m","158241,670 m",204,Halle,788,10960014015,0, ,Fietsenstalling f1,Aan ingang station onder spoorviaduct,0,0,0,NVT,NMBS,Overdekt (luifel),186,0,0,0,0,0,0,0,0,0,186,186,0,0,1,"3° 45' 19,732"" E","51° 2' 20,001"" N"
777,778,840,0,"141052,943 m","158339,027 m",205,Halle,840,10960014015,0, ,Fietsenstalling f1,op parking P1,0,0,0,NVT,NMBS,Open lucht,0,1745,0,0,0,15,0,0,0,0,1760,1745,15,0,1,"3° 44' 20,194"" E","51° 3' 22,463"" N"
778,779,785,0,"139565,834 m","156036,455 m",206,Lembeek,785,10960016011,0, ,Fietsenstalling f2,op parking P1,1,1,1,hekken,NMBS,Open lucht,0,230,0,0,0,0,0,0,0,0,230,230,0,0,0,"3° 44' 21,444"" E","51° 3' 21,307"" N"
779,780,786,0,"139535,012 m","155976,475 m",207,Lembeek,786,10960016011,0, ,Fietsenstalling f3,op pleintje voor station,0,0,0,NVT,NMBS,Open lucht,0,195,0,0,0,0,0,0,0,0,195,195,0,0,1,"3° 44' 20,398"" E","51° 3' 26,031"" N"
780,781,311,0,"146664,828 m","166497,255 m",208,Forest-est/Vorst-oost,311,11240003009,0, ,Fietsenstalling f4,tegen muur perronsporen,0,0,0,NVT,NMBS,Overdekt (luifel),42,0,0,0,0,0,0,0,0,0,42,42,0,0,1,"3° 44' 21,006"" E","51° 3' 25,431"" N"
781,782,738,0,"146583,975 m","166548,706 m",209,Forest-est/Vorst-oost,738,11240003009,0, ,Fietsenstalling f1,Naast SG,0,0,0,NVT,NMBS,Overdekt (luifel),120,0,0,0,16,0,0,0,0,0,136,120,16,0,1,"3° 52' 15,481"" E","50° 46' 14,188"" N"
782,783,1102,0,"146627,244 m","166579,633 m",210,Forest-est/Vorst-oost,1102,11240003009,0, ,Fietsenstalling f2,Kant Papiermolenstraat,0,0,1,overdekte staal/hout,NMBS,Overdekt (luifel),72,0,0,0,0,0,0,0,0,0,72,72,0,0,-1,"3° 52' 12,925"" E","50° 46' 16,890"" N"
